SUPERMERCADO TRADICAO LTDA
CEP 12248440 SAO JOSE DOS CAMPOS - SP
CNPJ: 47.692.182/0001-72

Código Barras;Descrição Produto;Etiqueta;Seção;Valor Venda;Valor Oferta;Margem Pratic;
0000000003735;AC BOV C1 PATINHO;1;1;45,99;0,00;24,61%;
0000000003742;AC BOV C1 PICANHA;1;1;64,99;0,00;25,88%;
0000000003865;AC CALABRESA KG AURORA;1;1;34,99;0,00;46,98%;
0000000004596;AC FRG COXINHA DA ASA;1;1;17,99;0,00;30,52%;
0000000004688;AC FRG FRANGO INTEIRO RESFRIADO;1;1;13,99;0,00;28,52%;
0000000011068;AC SUINO BISTECA;1;1;19,99;0,00;22,66%;
7898914221917;AGUA DE COCO COCOSUPER TP 200ML;1;4;2,99;0,00;36,79%;
3700123300014;AGUA MIN NESTLE 1,5L SGAS PUREZA VITAL;1;4;4,49;0,00;37,86%;
3700123302360;AGUA MIN NESTLE 510ML SGAS PUREZA VITAL;1;4;2,49;0,00;32,13%;
7897395000882;CERV ITAIPAVA ZERO ALC LN 330ML;3;3;4,89;0,00;16,36%;
7898377660032;CERV LOKAL 350ML;3;3;2,79;0,00;22,94%;
7891149200504;CERV SKOL LT 350ML;3;3;3,89;0,00;18,25%;
7891991015462;CERV STELLA ARTOIS PURO M LN 330ML;3;3;7,25;0,00;24,14%;
7898080664563;ENERG BALY 2L MACA VERDE;3;4;11,99;0,00;30,94%;
7898080664389;ENERG BALY 2L MELANCIA;3;4;11,99;0,00;30,94%;
7898080665010;ENERG BALY 2L MORANGO E PESSEGO;3;4;11,99;0,00;30,94%;
7898080662668;ENERG BALY 2L TRADICIONAL;3;4;11,99;0,00;30,94%;
7898080664112;ENERG BALY 2L TROPICAL;3;4;11,99;0,00;40,87%;
0000000004824;FLV ABACATE;1;8;8,99;0,00;45,27%;
0000000004848;FLV ABACAXI;1;8;7,99;6,49;15,25%;
0000000005067;FLV AMEIXA NACIONAL;1;8;13,99;0,00;46,39%;
0700083262738;FLV CAJU BDJ;1;8;13,99;0,00;46,39%;
0000000005319;FLV CEBOLA;1;8;2,69;1,99;12,06%;
0000000005623;FLV LARANJA PERA;1;8;4,49;3,99;24,81%;
0000000005661;FLV LIMAO TAITI;1;8;2,99;2,79;28,32%;
