SUPERMERCADO TRADICAO LTDA
CEP 12248440 SAO JOSE DOS CAMPOS - SP
CNPJ: 47.692.182/0001-72

Código de Barras;Descrição Reduzida;Quantidade Ajuste;Custo Reposição;Descrição Ajuste Completa;Seção;
7892840819507;ACHOC EM PO TODDY PT 370G;1,000;0,00;ENTRADA POR AJUSTE;11;
7896894900013;ACUCAR REF CARAVELAS 1KG;1,000;0,00;ENTRADA POR AJUSTE;5;
7896894900013;ACUCAR REF CARAVELAS 1KG;1,000;0,00;ENTRADA POR AJUSTE;5;
7891910000197;ACUCAR REF UNIAO 1KG TRAD;2,000;0,00;ENTRADA POR AJUSTE;5;
0000000001199;COLAGENO HIDROLISADO EM PO;-0,098;63,70;PERDA MERCEARIA (AVARIA/FURTO);16;
0000000001311;FARINHA DE CAST DE CAJU;-0,104;30,80;PERDA MERCEARIA (AVARIA/FURTO);16;
0000000001700;UVA PASSA PRETA S/ SEMENTE;-0,190;22,45;PERDA PADARIA;16;
7894900531015;AGUA MIN CRYSTAL 1,5L CGAS;8,000;2,96;ENTRADA POR AJUSTE;4;
7894900530032;AGUA MIN CRYSTAL 1,5L SEM GAS;9,000;2,75;ENTRADA POR AJUSTE;4;
7894900531008;AGUA MIN CRYSTAL 500ML CGAS;18,000;2,01;ENTRADA POR AJUSTE;4;
7894900530001;AGUA MIN CRYSTAL 500ML SEM GAS;22,000;1,70;ENTRADA POR AJUSTE;4;
7894900530001;AGUA MIN CRYSTAL 500ML SEM GAS;-1,000;1,70;PERDA MERCEARIA (AVARIA/FURTO);4;
7894900530001;AGUA MIN CRYSTAL 500ML SEM GAS;1,000;0,00;ENTRADA POR AJUSTE;4;
7896065870510;AGUA MIN MINALBA 1,5L CGAS;-22,000;3,18;SAIDA POR AJUSTE;4;
7896065880106;AGUA MIN MINALBA 1,5L SGAS;-39,000;2,74;SAIDA POR AJUSTE;4;
7896065870497;AGUA MIN MINALBA 510ML CGAS;-1,000;2,13;SAIDA POR AJUSTE;4;
7896065880069;AGUA MIN MINALBA 510ML SGAS;2,000;1,86;ENTRADA POR AJUSTE;4;
7896065810592;AGUA MIN MINALBA 5L SEM GAS;-1,000;10,01;SAIDA POR AJUSTE;4;
7896984205103;AGUA MIN PASSA QUATRO 510ML CO;-42,000;1,54;SAIDA POR AJUSTE;4;
7894900680522;AGUA SABOR SPRITE 1,5L LEMON F;-7,000;4,97;SAIDA POR AJUSTE;4;
7894900300017;AGUA TONICA SCHWEPPES LT 350ML;-10,000;2,81;SAIDA POR AJUSTE;4;
7896002109000;AGUARDENTE 51 LT 350ML;2,000;3,95;ENTRADA POR AJUSTE;3;
