SUPERMERCADO TRADICAO LTDA
CEP 12248440 SAO JOSE DOS CAMPOS - SP
CNPJ: 47.692.182/0001-72

Código de Barras;Descrição Completa;Curva;Custo c/Imp;Venda;Qtd. Estoque Atual;Dias Coberturas;Qtd.Vda.Ult.30D;Margem Referência;% Margem Praticada;Descrição Seção;Descrição Grupo;Descrição SubGrupo;
000000000482-4;FLV ABACATE;A;3,31;5,99;42,747;8;181,650;45,00%;44,74%;HORT FRUTI;FRUTAS;VITAMINADAS;
000000000484-8;FLV ABACAXI;A;4,50;6,99;1.015,000;32;1.202,000;35,00%;35,62%;HORT FRUTI;FRUTAS;CITRICAS;
000000000486-2;FLV ABOBORA BRASILEIRA;B;2,00;3,99;511,190;312;59,780;40,00%;49,87%;HORT FRUTI;LEGUMES;LEGUMINOSAS;
000000000487-9;FLV ABOBORA CABOTIAN;A;2,00;3,49;193,528;45;93,570;40,00%;42,69%;HORT FRUTI;LEGUMES;LEGUMINOSAS;
000000000489-3;FLV ABOBORA ITALIA;A;5,34;8,99;194,104;31;152,525;40,00%;40,60%;HORT FRUTI;LEGUMES;LEGUMINOSAS;
000000000490-9;FLV ABOBORA MORANGA;D;1,67;2,99;19,350;92;0,000;40,00%;44,15%;HORT FRUTI;LEGUMES;LEGUMINOSAS;
000000000491-6;FLV ABOBORA PAULISTA;B;2,00;3,49;32,048;42;26,785;40,00%;42,69%;HORT FRUTI;LEGUMES;LEGUMINOSAS;
000000000493-0;FLV ABOBORA RAJADA;C;4,00;6,99;214,532;618;2,805;45,00%;42,78%;HORT FRUTI;LEGUMES;LEGUMINOSAS;
000000000495-4;FLV ACAFRAO;E;4,21;7,99;20,270;368;1,000;50,00%;52,19%;HORT FRUTI;LEGUMES;LEGUMINOSAS;
000000000496-1;FLV ACELGA;B;3,75;5,99;81,000;142;15,000;40,00%;37,40%;HORT FRUTI;HORTALIÇAS;VERDURAS;
061920566332-5;FLV ACEROLA BANDEJA;X;5,00;9,99;13,000;9.999;0,000;40,00%;49,95%;HORT FRUTI;FRUTAS;EXOTICAS;
000000000497-8;FLV AGRIAO;B;3,75;6,99;224,000;399;26,000;40,00%;46,35%;HORT FRUTI;HORTALIÇAS;VERDURAS;
000000001644-5;FLV AGRIAO HIDROPONICO;X;4,38;6,99;12,000;9.999;0,000;35,00%;37,34%;HORT FRUTI;HORTALIÇAS;VERDURAS;
000000000498-5;FLV ALECRIM;X;1,45;1,99;0,000;0;0,000;35,00%;29,65%;HORT FRUTI;HORTALIÇAS;VERDURAS;
000000000499-2;FLV ALFACE AMERICANA;A;3,33;4,99;140,000;23;172,000;35,00%;33,27%;HORT FRUTI;HORTALIÇAS;VERDURAS;
000000000500-5;FLV ALFACE CRESPA;A;1,94;2,25;2.051,000;64;1.063,000;35,00%;13,78%;HORT FRUTI;HORTALIÇAS;VERDURAS;
000000001640-7;FLV ALFACE CRESPA HIDROPONICO;X;3,50;5,49;14,000;9.999;0,000;35,00%;36,25%;HORT FRUTI;HORTALIÇAS;VERDURAS;
000000001669-8;FLV ALFACE CRESPA PICADA;X;0,97;1,89;0,000;0;0,000;35,00%;48,68%;HORT FRUTI;HORTALIÇAS;VERDURAS;
000000000501-2;FLV ALFACE LISA;B;2,50;3,99;53,000;14;85,000;35,00%;37,34%;HORT FRUTI;HORTALIÇAS;VERDURAS;
000000000502-9;FLV ALFACE MIMOSA;X;2,81;3,99;45,000;9.999;0,000;35,00%;29,57%;HORT FRUTI;HORTALIÇAS;VERDURAS;
000000001518-9;FLV ALFACE ROXA;X;1,94;3,99;32,000;9.999;0,000;40,00%;51,38%;HORT FRUTI;HORTALIÇAS;VERDURAS;
000000001641-4;FLV ALFACE TRIO HIDROPONICO;X;3,50;5,49;7,000;9.999;0,000;35,00%;36,25%;HORT FRUTI;HORTALIÇAS;VERDURAS;
000000000503-6;FLV ALHO PORO;B;1,67;2,99;240,000;180;50,000;40,00%;44,15%;HORT FRUTI;HORTALIÇAS;VERDURAS;
000000000504-3;FLV ALHO ROXO;A;13,31;19,99;519,489;37;398,750;33,00%;35,92%;HORT FRUTI;LEGUMES;LEGUMINOSAS;
000000001639-1;FLV ALMEIRAO;X;1,46;2,49;23,000;9.999;0,000;40,00%;41,37%;HORT FRUTI;HORTALIÇAS;FLORES;
789613224443-5;FLV AMEIXA BANDEJA;B;4,25;9,99;86,000;137;36,000;50,00%;57,46%;HORT FRUTI;FRUTAS;EXOTICAS;
000000000506-7;FLV AMEIXA NACIONAL;A;4,89;7,99;105,480;43;216,995;40,00%;38,80%;HORT FRUTI;FRUTAS;EXOTICAS;
000000000508-1;FLV ATEMOIA;D;15,00;24,99;174,105;869;0,000;35,00%;39,98%;HORT FRUTI;FRUTAS;EXOTICAS;
000000000509-8;FLV BANANA DA TERRA;D;5,53;8,99;7,335;2;12,565;35,00%;38,49%;HORT FRUTI;FRUTAS;VITAMINADAS;
000000000512-8;FLV BANANA NANICA;A;2,96;4,99;3.762,690;49;2.179,145;30,00%;40,68%;HORT FRUTI;FRUTAS;VITAMINADAS;
000000000513-5;FLV BANANA PRATA;A;4,10;5,99;1.595,535;26;1.521,515;30,00%;31,55%;HORT FRUTI;FRUTAS;VITAMINADAS;
000000000515-9;FLV BATATA ASTERIX GRAUDA;E;2,40;4,99;12,860;91;0,000;50,00%;51,90%;HORT FRUTI;LEGUMES;LEGUMINOSAS;
000000000516-6;FLV BATATA BOLINHA;B;4,80;6,99;283,890;348;44,505;40,00%;31,33%;HORT FRUTI;LEGUMES;LEGUMINOSAS;
000000000517-3;FLV BATATA DOCE BRANCA;A;6,38;9,99;155,980;84;54,810;40,00%;36,14%;HORT FRUTI;LEGUMES;LEGUMINOSAS;
000000000518-0;FLV BATATA DOCE ROSADA;A;2,93;4,99;585,500;74;275,550;40,00%;41,28%;HORT FRUTI;LEGUMES;LEGUMINOSAS;
000000001594-3;FLV BATATA DOCE ROXA;B;5,26;9,99;-77,650;0;6,095;50,00%;47,35%;HORT FRUTI;LEGUMES;LEGUMINOSAS;
000000000520-3;FLV BATATA LAVADA GRAUDA;A;3,61;4,99;2.943,055;32;3.062,075;33,00%;27,66%;HORT FRUTI;LEGUMES;LEGUMINOSAS;
000000000522-7;FLV BERINJELA;A;5,56;8,99;247,345;110;73,860;40,00%;38,15%;HORT FRUTI;LEGUMES;LEGUMINOSAS;
000000000523-4;FLV BETERRABA;A;3,31;5,99;261,964;42;166,080;40,00%;44,74%;HORT FRUTI;LEGUMES;LEGUMINOSAS;
000000000525-8;FLV BROCOLIS MACO;E;4,00;6,99;-48,000;0;0,000;50,00%;42,78%;HORT FRUTI;HORTALIÇAS;VERDURAS;
000000000524-1;FLV BROCOLIS NINJA;A;4,00;6,99;424,000;32;391,000;40,00%;42,78%;HORT FRUTI;HORTALIÇAS;VERDURAS;
070008326273-8;FLV CAJU BDJ;D;7,50;13,99;101,000;884;3,000;40,00%;46,39%;HORT FRUTI;FRUTAS;EXOTICAS;
789895100902-8;FLV CAQUI BDJ;D;4,50;8,99;51,000;669;4,000;45,00%;49,94%;HORT FRUTI;FRUTAS;EXOTICAS;
000000001446-5;FLV CAQUI CHOCOLATE;X;7,14;11,99;13,185;9.999;0,000;40,00%;40,45%;HORT FRUTI;FRUTAS;EXOTICAS;
000000000527-2;FLV CAQUI RAMA;X;5,48;8,99;709,295;9.999;0,000;40,00%;39,04%;HORT FRUTI;FRUTAS;EXOTICAS;
000000001329-1;FLV CARA;B;4,57;8,99;169,459;390;4,965;50,00%;49,17%;HORT FRUTI;LEGUMES;RAIZES;
000000000529-6;FLV CARAMBOLA;D;2,78;4,99;135,965;1.601;0,135;40,00%;44,29%;HORT FRUTI;FRUTAS;EXOTICAS;
000000000531-9;FLV CEBOLA;A;1,76;2,69;1.114,080;28;1.409,490;35,00%;34,57%;HORT FRUTI;LEGUMES;LEGUMINOSAS;
000000000533-3;FLV CEBOLA MIUDA;B;1,30;2,19;102,060;37;115,700;40,00%;40,64%;HORT FRUTI;LEGUMES;LEGUMINOSAS;
000000000535-7;FLV CEBOLA ROXA;A;2,78;5,99;192,250;106;63,670;45,00%;53,59%;HORT FRUTI;LEGUMES;LEGUMINOSAS;
000000000538-8;FLV CEBOLINHA UN;B;0,30;2,99;0,000;0;49,000;40,00%;89,97%;HORT FRUTI;HORTALIÇAS;VERDURAS;
000000000539-5;FLV CENOURA;A;3,12;4,99;812,265;32;935,993;35,00%;37,47%;HORT FRUTI;LEGUMES;LEGUMINOSAS;
000000001508-0;FLV CHEIRO VERDE COENTRO;A;3,00;3,99;-6.906,000;0;836,000;35,00%;24,81%;HORT FRUTI;HORTALIÇAS;VERDURAS;
000000001645-2;FLV CHEIRO VERDE COENTRO HIDROPONICO;X;3,50;5,49;-3,000;0;0,000;35,00%;36,25%;HORT FRUTI;HORTALIÇAS;VERDURAS;
000000001647-6;FLV CHEIRO VERDE SALSA HIDROPONICO;X;3,50;5,49;10,000;9.999;0,000;35,00%;36,25%;HORT FRUTI;HORTALIÇAS;VERDURAS;
000000001520-2;FLV CHEIRO VERDE SALSINHA;A;2,50;3,49;-2.805,000;0;170,000;35,00%;28,37%;HORT FRUTI;HORTALIÇAS;VERDURAS;
000000000543-2;FLV CHUCHU;A;7,84;12,99;402,905;65;70,685;40,00%;39,65%;HORT FRUTI;LEGUMES;LEGUMINOSAS;
000000000544-9;FLV COCO SECO;A;2,75;4,49;142,483;75;53,730;40,00%;38,75%;HORT FRUTI;FRUTAS;VITAMINADAS;
000000000548-7;FLV COUVE FLOR;B;5,00;7,99;307,000;358;37,000;40,00%;37,42%;HORT FRUTI;HORTALIÇAS;VERDURAS;
000000000549-4;FLV COUVE MANTEIGA;A;1,50;2,25;2.186,000;146;354,000;35,00%;33,33%;HORT FRUTI;HORTALIÇAS;VERDURAS;
000000001758-9;FLV ERVILHA TORTA;E;12,85;18,99;34,785;1.286;0,000;40,00%;36,81%;HORT FRUTI;LEGUMES;LEGUMINOSAS;
000000000551-7;FLV ESCAROLA / CHICORIA;X;1,94;3,99;17,000;9.999;0,000;35,00%;51,38%;HORT FRUTI;HORTALIÇAS;VERDURAS;
000000000552-4;FLV ESPINAFRE;E;4,00;7,99;35,000;1.225;3,000;40,00%;49,94%;HORT FRUTI;HORTALIÇAS;VERDURAS;
000000000507-4;FLV AMENDOIM COM CASCA;C;10,30;15,99;-20,216;0;2,956;50,00%;51,34%;HORT FRUTI;LEGUMES;LEGUMINOSAS;
000000001635-3;FLV MELANCIA GRANDE;E;25,00;34,99;0,250;17;1,000;30,00%;28,55%;HORT FRUTI;FRUTAS;VITAMINADAS;
000000001637-7;FLV MELANCIA GRANDE 1/2;E;5,00;7,99;0,000;0;1,000;35,00%;37,42%;HORT FRUTI;FRUTAS;VITAMINADAS;
000000001638-4;FLV MELANCIA GRANDE 1/4;X;2,50;3,99;0,000;0;0,000;35,00%;37,34%;HORT FRUTI;FRUTAS;VITAMINADAS;
000000001676-6;FLV UVA BENITAKA ROSA ESCURO;X;8,13;13,99;59,800;9.999;0,000;40,00%;41,89%;HORT FRUTI;FRUTAS;EXOTICAS;
000001009588-1;FLV UVA CX ROSADA NIAGRA GRD 5KG (MADEIRA);B;40,00;59,99;25,000;115;5,000;40,00%;33,32%;HORT FRUTI;FRUTAS;EXOTICAS;
