SUPERMERCADO TRADICAO LTDA;;;;;;;;;;;;;;;
CEP 12248440 SAO JOSE DOS CAMPOS - SP;;;;;;;;;;;;;;;
CNPJ: 47.692.182/0001-72;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Código Barras;Data Venda;Descrição;Curva;Pedido?;Estoque Atual;Cobertura;Descrição Grupo;Descrição Seção;Descrição SubGrupo;Desc. Fornecedor Pref;Mark-Down;Qtd.Embalagem Compra;Valor Venda;Custo c/Imp;Venda Média
7,89152E+12;06/12/2025;AC (ILHA) LINGUICA PAIO PERDIGAO 370G;A;Não;17;31;CARNES INDUSTRIALIZADAS;CONGELADOS;DEFUMADOS;BRF S.A.;31,52%;24;17,99;12,85;0,5474
1861;21/12/2025;AC (PRD) ASS FRALDINHA BOVINA;A;Não;0;0;ROTISSERIA;AÇOUGUE;BOVINA;;27,70%;1;64,99;49,91;4,9516
16773;23/12/2025;AC BACON KG PERDIGAO;A;Não;95,426;156;SALGADOS E DEFUMADOS;AÇOUGUE;DEFUMADOS;BRF S.A.;43,31%;1;39,99;25,79;0,6117
17763;23/12/2025;AC BACON KG PERDIGAO (PRD) A VACUO;A;Não;0,248;0;SALGADOS E DEFUMADOS;AÇOUGUE;SALGADOS E DEFUMADOS A VACUO;;49,61%;1;44,99;26,69;0,7689
12997;07/12/2025;AC BACON KG SADIA;A;Não;105,487;400;SALGADOS E DEFUMADOS;AÇOUGUE;DEFUMADOS;BRF S.A.;51,22%;3;44,9;26,04;0,2638
3612;24/12/2025;AC BOV C1 (PRD) BIFE A ROLE;A;Não;0,628;1;PROTEINA BOVINA;AÇOUGUE;RECEITAS;SUPERMERCADO TRADICAO LTDA;29,63%;1;41,99;32,42;0,6148
3797;24/12/2025;AC BOV C2 COSTELA CHULETA GAUCHA;A;Não;-38,954;0;PROTEINA BOVINA;AÇOUGUE;CARNE DE SEGUNDA;AC COMERCIO DE CARNES  EIRELI  EPP;23,94%;1;29,99;24,16;8,1487
3810;24/12/2025;AC BOV C2 FRALDINHA;A;Não;47,924;26;PROTEINA BOVINA;AÇOUGUE;CARNE DE SEGUNDA;SUPERMERCADO TRADICAO LTDA;25,74%;1;44,99;35,43;1,8474
16827;26/12/2025;AC CALABRESA KG FRICASA PRD A VACUO;A;Não;0;0;SALGADOS E DEFUMADOS;AÇOUGUE;SALGADOS E DEFUMADOS A VACUO;FRICASA ALIMENTOS S/A;55,78%;1;33,99;16,78;1,6752
15233;26/12/2025;AC CALABRESA KG SADIA PRD A VACUO;A;Não;0;0;SALGADOS E DEFUMADOS;AÇOUGUE;SALGADOS E DEFUMADOS A VACUO;ATACADAO S.A.;49,12%;1;38,99;21,61;1,9522
3940;19/12/2025;AC CARNE SECA (PRD) TRASEIRA TRADICAO;A;Não;0,906;2;SALGADOS E DEFUMADOS;AÇOUGUE;RECEITAS;SUPERMERCADO TRADICAO LTDA;26,91%;1;49,99;38,79;0,5105
4510;26/12/2025;AC FRG (PRD) MEDALHAO DE FRANGO;A;Não;0;0;PROTEINA AVE;AÇOUGUE;RECEITAS;SUPERMERCADO TRADICAO LTDA;39,91%;1;28,99;18,72;1,1684
4718;23/12/2025;AC FRG (PRD) MEIO DA ASA TULIPA TEMPERADA;A;Não;0,862;1;PROTEINA AVE;AÇOUGUE;RECEITAS;SUPERMERCADO TRADICAO LTDA;48,84%;1;27,99;16,73;0,7368
4435;22/12/2025;AC FRG EMPANADAO DE FRANGO (FILE);A;Não;0,462;0;PROTEINA AVE;AÇOUGUE;CORTES TRADICIONAIS;VALE ALIMENTOS LTDA.;36,23%;10;36,99;26,34;1,4887
4725;24/12/2025;AC FRG MEIO DA ASA TULIPA;A;Não;7,252;1;PROTEINA AVE;AÇOUGUE;CORTES TRADICIONAIS;ADORO S.A.;35,43%;20;21,99;15,19;5,6344
6897;26/12/2025;AC FRG NUGGETS DE FRANGO;A;Não;9,256;5;PROTEINA AVE;AÇOUGUE;CORTES TRADICIONAIS;VALE ALIMENTOS LTDA.;44,66%;20;27,99;16,65;1,7503
4756;26/12/2025;AC FRG PE DE FRANGO;A;Não;18,766;5;PROTEINA AVE;AÇOUGUE;MIUDOS;ADORO S.A.;62,16%;15;9,99;4,23;3,7254
16797;26/12/2025;AC LINGUICA FINA DEF PERDIGAO KG;A;Não;34,736;70;SALGADOS E DEFUMADOS;AÇOUGUE;DEFUMADOS;BRF S.A.;36,01%;1;31,99;21,53;0,4952
11105;22/12/2025;AC SALG SUINO COSTELINHA SALGADA;A;Não;15,395;26;SALGADOS E DEFUMADOS;AÇOUGUE;SALGADOS;VALE ALIMENTOS LTDA.;43,68%;10;29,99;18,24;0,5996
11242;23/12/2025;AC SALG SUINO RABINHO SALGADO;A;Não;45,175;111;SALGADOS E DEFUMADOS;AÇOUGUE;SALGADOS;VALE ALIMENTOS LTDA.;45,33%;10;31,99;18,93;0,4066
11075;22/12/2025;AC SUINO (PRD) BISTECA COPA LOMBO;A;Não;2,276;0;PROTEINA SUINA;AÇOUGUE;RECEITAS;SUPERMERCADO TRADICAO LTDA;22,66%;1;19,99;16,36;6,5183
12935;04/12/2025;AC SUINO (PRD) LINGUICA FINA MINEIRA;A;Não;1,086;2;PROTEINA SUINA;AÇOUGUE;RECEITAS;SUPERMERCADO TRADICAO LTDA;23,17%;1;24,99;19,74;0,72
13215;11/12/2025;AC SUINO (PRD) LINGUICA FINA SUINA;A;Não;0;0;PROTEINA SUINA;AÇOUGUE;RECEITAS;SUPERMERCADO TRADICAO LTDA;21,65%;10;24,99;20,08;3,8331
7,89622E+12;14/12/2025;ACHOC EM PO CHOCOLATTO SC 700G;A;Não;23;38;ACHOCOLATADOS;MATINAIS;ACHOC EM PO;TRES CORACOES ALIMENTOS SA;29,54%;12;18,99;13,9;0,6102
7,89689E+12;26/12/2025;ACUCAR REF CARAVELAS 1KG;A;Não;81;5;AÇÚCAR;MERCEARIA BASICA;REFINADO;IRMAOS MUFFATO SA MAX SJ CAMPOS;22,27%;10;4,49;3,49;15,5
7,89601E+12;23/12/2025;ARROZ CAMIL 5KG TIPO 1;A;Não;57;68;ARROZ;MERCEARIA BASICA;ARROZ TIPO 1;IRMAOS MUFFATO SA MAX SJ CAMPOS;34,84%;1;22,99;13,93;0,8333
7,89658E+12;26/12/2025;ARROZ FANTASTICO 5KG TIPO 1;A;Não;34;89;ARROZ;MERCEARIA BASICA;ARROZ TIPO 1;FANTASTICO ALIMENTOS LTDA;14,29%;1;24,99;19,92;0,3814
