SUPERMERCADO TRADICAO LTDA
CEP 12248440 SAO JOSE DOS CAMPOS - SP
CNPJ: 47.692.182/0001-72

Código de Barras;Descrição Reduzida;Quantidade Ajuste;Custo Reposição;Descrição Ajuste Completa;Seção;
0000000010689;PRD P BASE SALSICHA KG;1,210;7,69;ENTRADA "DE PARA" AÇOUGUE;13;
0000000010689;PRD P BASE SALSICHA KG;3,506;7,69;ENTRADA "DE PARA" AÇOUGUE;13;
7896625210596;PRD P BASE MAIONESE;1,000;10,49;ENTRADA "DE PARA" PADARIA PRODUÇÃO;13;
7896625210596;PRD P BASE MAIONESE;1,000;10,49;ENTRADA "DE PARA" PADARIA PRODUÇÃO;13;
7894523654016;PRD P BASE AMIDO DE MILHO (MAIZENA);0,200;11,77;ENTRADA "DE PARA" PADARIA PRODUÇÃO;13;
0000000010689;PRD P BASE SALSICHA KG;2,948;11,24;ENTRADA "DE PARA" PADARIA PRODUÇÃO;13;
0000000010689;PRD P BASE SALSICHA KG;1,694;11,24;ENTRADA "DE PARA" PADARIA PRODUÇÃO;13;
7898290434239;PRD P BASE CALABRESA KG;2,194;15,03;ENTRADA "DE PARA" PADARIA PRODUÇÃO;13;
7898290434239;PRD P BASE CALABRESA KG;5,696;15,03;ENTRADA "DE PARA" PADARIA PRODUÇÃO;13;
0000000010689;PRD P BASE SALSICHA KG;4,654;11,24;ENTRADA "DE PARA" PADARIA PRODUÇÃO;13;
0000000009775;PRD P BASE LEITE;24,000;3,79;ENTRADA "DE PARA" PADARIA PRODUÇÃO;13;
0000000010160;PRD P BASE PAO DE FORMA KG;2,400;10,00;ENTRADA "DE PARA" PADARIA PRODUÇÃO;13;
0000000010160;PRD P BASE PAO DE FORMA KG;4,000;10,00;ENTRADA "DE PARA" PADARIA PRODUÇÃO;13;
0000000010160;PRD P BASE PAO DE FORMA KG;5,600;10,00;ENTRADA "DE PARA" PADARIA PRODUÇÃO;13;
0000000010160;PRD P BASE PAO DE FORMA KG;3,200;10,00;ENTRADA "DE PARA" PADARIA PRODUÇÃO;13;
0000000010160;PRD P BASE PAO DE FORMA KG;1,600;10,00;ENTRADA "DE PARA" PADARIA PRODUÇÃO;13;
0000000010160;PRD P BASE PAO DE FORMA KG;5,200;10,00;ENTRADA "DE PARA" PADARIA PRODUÇÃO;13;
0000000010160;PRD P BASE PAO DE FORMA KG;1,200;10,00;ENTRADA "DE PARA" PADARIA PRODUÇÃO;13;
7896557218172;BASE BISNAGA REQUEIJAO;0,400;22,25;ENTRADA "DE PARA" PADARIA PRODUÇÃO;13;
7896557218172;BASE BISNAGA REQUEIJAO;0,800;22,25;ENTRADA "DE PARA" PADARIA PRODUÇÃO;13;
7896557218172;BASE BISNAGA REQUEIJAO;0,800;22,25;ENTRADA "DE PARA" PADARIA PRODUÇÃO;13;
0000010083185;PRD P FLV ALFACE CRESPA;0,300;2,78;ENTRADA "DE PARA" PADARIA PRODUÇÃO;13;
0000010083185;PRD P FLV ALFACE CRESPA;0,300;2,78;ENTRADA "DE PARA" PADARIA PRODUÇÃO;13;
0000010083185;PRD P FLV ALFACE CRESPA;0,300;2,78;ENTRADA "DE PARA" PADARIA PRODUÇÃO;13;
0000010084052;PRD P FLV BANANA NANICA;3,000;3,00;ENTRADA "DE PARA" PADARIA PRODUÇÃO;13;
0000010084052;PRD P FLV BANANA NANICA;3,000;3,00;ENTRADA "DE PARA" PADARIA PRODUÇÃO;13;
0000010084052;PRD P FLV BANANA NANICA;2,350;3,00;ENTRADA "DE PARA" PADARIA PRODUÇÃO;13;
0000010084045;PRD P FLV LIMAO TAITI;0,480;2,00;ENTRADA "DE PARA" PADARIA PRODUÇÃO;13;
0000010084045;PRD P FLV LIMAO TAITI;1,659;2,00;ENTRADA "DE PARA" PADARIA PRODUÇÃO;13;
0000010084045;PRD P FLV LIMAO TAITI;0,996;2,00;ENTRADA "DE PARA" PADARIA PRODUÇÃO;13;
0000010084045;PRD P FLV LIMAO TAITI;1,050;2,00;ENTRADA "DE PARA" PADARIA PRODUÇÃO;13;
0000010084045;PRD P FLV LIMAO TAITI;1,966;2,00;ENTRADA "DE PARA" PADARIA PRODUÇÃO;13;
0000010084045;PRD P FLV LIMAO TAITI;1,148;2,00;ENTRADA "DE PARA" PADARIA PRODUÇÃO;13;
0000010084045;PRD P FLV LIMAO TAITI;1,020;2,00;ENTRADA "DE PARA" PADARIA PRODUÇÃO;13;
0000010084076;PRD P FLV CEBOLA KG;1,724;1,75;ENTRADA "DE PARA" PADARIA PRODUÇÃO;13;
0000010084076;PRD P FLV CEBOLA KG;0,150;1,75;ENTRADA "DE PARA" PADARIA PRODUÇÃO;13;
0000010084076;PRD P FLV CEBOLA KG;0,738;1,75;ENTRADA "DE PARA" PADARIA PRODUÇÃO;13;
